0,1,2,3,4
One Star ,1.0, 25 July 2014 ," By
    
    Andrea Bradden
  
 on 25 July 2014 "," ordered this, there was no PB embroidered on the coat, opposite colours to PB - very disappointed "
Arm missing!! ,1.0, 1 Nov. 2015 ," By
    
    gemma james
  
 on 1 Nov. 2015 "," These are smaller than than you think and a little over priced, worth about £5,  they make an annoying sound and stick their tongue out, i'm sure kids will love them anyway, they look more fun in the advert than they actually are, the one that I received had an arm missing, amazon are replacing the product but I now have the trouble of sending the faulty one back. "
Cheap advent calendar ,1.0, 28 Oct. 2015 ," By
    
    lully
  
 on 28 Oct. 2015 "," Thought this would make a lovely different calendar, however it looked cheap and tacky, the box was broken even before it arrived, also thought there would be a Barbie for the amount of money even at full price.Cheap cheap cheap don't waste your money and dissappoint your little girl like I did.It's now in the BIN !!!!!!!!It's also dated 2014 in the description, rubbish. "
Poor quality sand ,1.0, 26 Dec. 2015 ," By
    
    Amazon Customer
  
 on 26 Dec. 2015 ", The sand is rubbish - very messy and doesn't stick together. It's more like flour than sand. I have bought different mouldable sand from the Pound shop and it is much better quality than this. Very disappointed and will be asking for a refund. 
Colour choice ,1.0, 19 Dec. 2015 ," By
    
    Pen Name
  
 on 19 Dec. 2015 ", Know it says random colours but wish we could choose. Red is quite dark and my girlie girl won't like it and will surely wonder why Santa has given her a colour she doesn't like! 
the ‘sand’ in the package acts nothing like the sand in the marketing video ,1.0, 6 April 2016 ," By
    
    b4-its-2-l8
  
TOP 1000 REVIEWER on 6 April 2016 "," if(ue) {
    ue.count(""reviewsCustomerAiryVideoUninitialized"", 0);
  }

  if (typeof P !== ""undefined"") {
    P.when('Airy').execute(function(Airy) {
      Airy.embed({""installFlashButtonText"":""Install Flash Player"",""contentTitle"":null,""autoplayCutOffTimeSeconds"":null,""ageGate"":{""monthNames"":[""January"",""February"",""March"",""April"",""May"",""June"",""July"",""August"",""September"",""October"",""November"",""December""],""deniedPrompt"":""We are sorry. You are not old enough to watch this video."",""submitText"":""Submit"",""prompt"":""This video is not intended for all audiences. What is your birthdate?""},""videoAds"":null,""videoUnsupportedPrompt"":""Sorry, this video is unsupported on this browser."",""desiredMode"":""hybrid"",""swfUrl"":""http://g-ecx.images-amazon.com/images/G/02/vap/video/airy2/prod/2.0.1351.0/flash/AiryBasicRenderer._CB301816270_.swf"",""isAutoplayEnabled"":null,""installFlashPrompt"":""Adobe Flash Player is required to watch this video."",""isLiveStream"":null,""regionCode"":""EU"",""contentId"":""A1O7W7%2B8MWS"",""playbackErrorPrompt"":""Sorry, an error has occurred while attempting video playback. Please try again later."",""contentMinAge"":0,""isForesterTrackingDisabled"":null,""streamingUrls"":""http://ecx.images-amazon.com/images/I/A1O7W7%2B8MWS.mp4"",""parentId"":""airy-player-container-2bdd3348e19a138ffccd21023360bba3"",""foresterMetadataParams"":{""client"":""CustomerReviews"",""requestId"":""1EKD88SFJS32KJM7JP4D"",""marketplaceId"":""A1F83G8C2ARO7P"",""session"":""280-8767864-3231908""}});
    }); 
  } else if (typeof amznJQ !== ""undefined"") {
    amznJQ.onReady('Airy', function() {
      Airy.embed({""installFlashButtonText"":""Install Flash Player"",""contentTitle"":null,""autoplayCutOffTimeSeconds"":null,""ageGate"":{""monthNames"":[""January"",""February"",""March"",""April"",""May"",""June"",""July"",""August"",""September"",""October"",""November"",""December""],""deniedPrompt"":""We are sorry. You are not old enough to watch this video."",""submitText"":""Submit"",""prompt"":""This video is not intended for all audiences. What is your birthdate?""},""videoAds"":null,""videoUnsupportedPrompt"":""Sorry, this video is unsupported on this browser."",""desiredMode"":""hybrid"",""swfUrl"":""http://g-ecx.images-amazon.com/images/G/02/vap/video/airy2/prod/2.0.1351.0/flash/AiryBasicRenderer._CB301816270_.swf"",""isAutoplayEnabled"":null,""installFlashPrompt"":""Adobe Flash Player is required to watch this video."",""isLiveStream"":null,""regionCode"":""EU"",""contentId"":""A1O7W7%2B8MWS"",""playbackErrorPrompt"":""Sorry, an error has occurred while attempting video playback. Please try again later."",""contentMinAge"":0,""isForesterTrackingDisabled"":null,""streamingUrls"":""http://ecx.images-amazon.com/images/I/A1O7W7%2B8MWS.mp4"",""parentId"":""airy-player-container-2bdd3348e19a138ffccd21023360bba3"",""foresterMetadataParams"":{""client"":""CustomerReviews"",""requestId"":""1EKD88SFJS32KJM7JP4D"",""marketplaceId"":""A1F83G8C2ARO7P"",""session"":""280-8767864-3231908""}});
    });
  } else if (ue) {
    ue.count(""reviewsCustomerAiryVideoUninitialized"", 1);
  }


          
            Length:
          
          
            0:15
            Mins "
Poor quality ,1.0, 4 Jan. 2014 , 6 of 6 people found the following review helpful ," The cab bit is metal, trailer part is cheap plastic. The 2 parts don't even hold well together. My son gets very frustrated with it because the trailer constantly falls away when he's pulling it along.  Rubbish!I bought a nice morrisons truck - much bigger and the two part click together nicely. It was made of plastic but ten times better quality than this product. "
Will not be buying again ,1.0, 25 Feb. 2014 ," By
    
    lynsey
  
 on 25 Feb. 2014 "," Very poor quality product. cannot even use them for my customers.they were not printed properly, bits missing just very poor. Not impressed. "
Very Disappointed ,1.0, 19 July 2014 ," By
    
    Emma Melissa Cox
  
 on 19 July 2014 "," Was sent ""DIY colourful rubber bands"" when the picture & information clearly stated ""loom bands"" half are already broken & only just been opened. Very disappointed! "
WOULD NOT BUY FROM HERE AGAIN ,1.0, 20 Jun. 2014 ," By
    
    elaine easterbrook
  
 on 20 Jun. 2014 "," ORDERED THESE AS MY DAUGHTER WANTED THEM AS THEY WERE 2 COLOURS  AS PICTURED. BUT INSTEAD I RECEIVED 2 PACKS OF 300 BANDS/ WHICH MY DAUGHTER HAS PLENTY OF ,WHICH YOU CAN BUY IN MANY PLACES FOR £1 EACH PACK..WHEN I QUERIED THIS THE E-MAIL I RECEIVED BACK SAID THAT IT. STATES COLOUR MAY VERY. I WAS NOT HAPPY AS THE DESCRIPTION SAYS 2 COLOUR BANDS AS SHOWN IN PICTURE.  I DIDN'T WANT TO GIVE ANY STARS BUT I HAD TO GIVE 1 , AS I COULDN'T SUBMIT A REVEIW WITHOUT A STAR RATING "
Half a minion ,1.0, 17 Oct. 2015 ," By
    
    eddie
  
 on 17 Oct. 2015 ", I was really looking forward to receiving these and when they came the cut out of the sticker didn't marry up to the picture so when I peeled the picture I had half a minion this was the case for all five strips . Very disappointed .. The delivery was very quick that's why I gave one star.. 😕 
do NOT buy!!! ,1.0, 10 April 2016 ," By
    
    THS
  
 on 10 April 2016 ", These do NOT glow in the dark!! You will waste an hour of your life sticking these miniature stickers on then when you go into the room in the middle of the night and you can NOT even see stickers.!! This item got one star as I have to put it to review this product. Well done seller for ripping customers off!!!!!!!!! 
Beware the epic safety warning! ,1.0, 7 Jun. 2015 ," By
    
    Super Gompen
  
 on 7 Jun. 2015 "," The one star review is to get your attention and has nothing to do with the functionality of this pool: it's actually great. The padded floor is a fantastic idea and the sides are good and supportive for little ones when inflated fully. My big issue here is that the second ring down, the yellow one, is absolutely plastered, all the way around, with a stupid health & safety notice in every language on the planet, and probably a few beyond, contrary to the image shown above. We ordered this pool rather than the cheaper all-blue one because we thought it looked pretty, with it being multi-coloured. The safety warning utterly ruins that. Had I bought it from a shop I could have easily returned it to for a refund I would have done so. For the value of the pool, however, I couldn't be arsed with the re-packing and returns palaver. "
